Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Перепелиця,Амалія,Дмитрівна,Ж,04.01.1971,Вчитель,хутір Петрово-Красносілля,"парк Банний, буд. 54, Красноперекопськ, 44324",334 21 96,olhapavlenko@example.org
Пелех,Пилип,Єгорович,Ч,23.10.1946,Дантист,село Сновськ,"сквер Морехідний, буд. 545 кв. 4, Червоноград, 74476",+380 03 224-49-14,bmoskal@example.org
Гайдамака,Алла,Андріївна,Ж,13.08.1950,Модельєр,селище Антрацит ,"сквер Трамвайний, буд. 84, Буськ, 67305",+380 68 806 64 13,dubenkoliudmyla@example.net
Бабійчук,Розалія,Дмитрівна,Ж,30.04.1984,Намотувальник,місто Знам'янка,"проспект Юхима Фесенка, буд. 99, Сватове, 93250",+380 (37) 751-82-86,kostiantyn31@example.com
Чумаченко,Леонтій,Андрійович,Ч,27.12.1993,Електромонтажник,село Баштанка,"шосе Грецька, буд. 343, Хрустальний, 94671",794-14-60,fudovychenko@example.net
Вітрук,Тетяна,Володимирівна,Ж,10.08.2001,Музикант,село Тисмениця,"узвіз Зарічна, буд. 1, Сокиряни, 98604",000 728 75 02,ieremenkopriska@example.com
Доценко,Єлисавета,Богданівна,Ж,21.10.1967,Сантехнік,місто Подільськ,"сквер Ватманський, буд. 257, Вознесенськ, 37407",682-52-28,baturynetsiaroslava@example.org
Шутько,Лукʼян,Богданович,Ч,25.05.1967,Музикант,хутір Городня,"вулиця Олексіївська, буд. 216 кв. 636, Носівка, 02569",810 45 06,xbhydenko@example.org
Дерегус,Альбіна,Андріївна,Ж,09.03.1982,Швачка,місто Андрушівка,"шосе Лінія 52-га, буд. 98 кв. 6, Моспине, 82587",+380 95 416-50-09,pylyp39@example.com
Андрієвич,Руслан,Сергійович,Ч,19.07.2001,Журналіст,селище Новгород-Сіверський,"сквер Гастелло, буд. 084 кв. 3, Люботин, 32980",511 31 74,adam63@example.org
Безбородько,Ольга,Петрівна,Ж,06.10.1987,Співак,село Бахмут,"узвіз Мелітопольська, буд. 615 кв. 908, Вознесенськ, 03721",172 38 17,khrystynafranchuk@example.org
Удовиченко,Ярема,Петрович,Ч,25.01.1985,Електромонтажник,село Молочанськ,"парк Індійська, буд. 414, Глиняни, 37947",078 274-72-62,slahoda@example.org
Корпанюк,Орхип,Єгорович,Ч,11.04.1973,Зоолог,село Костянтинівка,"набережна Петра Лещенка, буд. 28 кв. 504, Волноваха, 27771",+380 32 410 94 24,anastasiiahavryshkevych@example.com
Сиротенко,Богданна,Петрівна,Ж,07.09.1957,Кур'єр,місто Сокиряни,"провулок Пішонівська, буд. 6 кв. 606, Очаків, 10840",+380 86 811-53-24,ieva26@example.net
Вакуленко,Онисим,Дмитрович,Ч,14.04.1999,Менеджер,хутір Татарбунари,"шосе Агрономічний, буд. 6, Ананьїв, 59772",+380 38 001 10 02,fiesypenko@example.org
Сагаль,Світлана,Єгорівна,Ж,11.11.2007,Намотувальник,хутір Дебальцеве,"сквер Пироговська, буд. 47 кв. 03, Залізне, 50221",+380 (25) 338-32-23,upanchuk@example.org
Дергач,Теодор,Едуардович,Ч,08.08.1948,Модельєр,хутір Карлівка,"набережна Солонцюватий 1-й, буд. 628, Боярка, 77339",+380 05 851 67 45,liliiavatamaniuk@example.net
Єрченко,Нестор,Михайлович,Ч,14.08.1973,Футболіст,хутір Ізюм,"узвіз Ланжеронівська, буд. 386 кв. 6, Алмазна, 77758",496 86 16,malykvarfolomii@example.com
Ватаманюк,Анастасія,Єгорівна,Ж,04.11.1994,Кіноактор,село Кілія,"проспект Михайлівська, буд. 838 кв. 063, Старий Крим, 96215",+380 (38) 572-82-49,liemets@example.net
Романчук,Вікторія,Петрівна,Ж,10.10.1969,Вчитель,селище Глухів,"вулиця Прорізний, буд. 4 кв. 54, Дніпрорудне, 24881",081 598-19-10,valentynmasliak@example.org
Проценко,Єфрем,Володимирович,Ч,30.05.1978,Скульптор,село Очаків,"парк Кутузова, буд. 061 кв. 10, Мерефа, 65687",+380 31 749-23-22,dakhnoiosyp@example.org
Панчук,Арсен,Богданович,Ч,15.07.1957,Євнух,хутір Апостолове,"площа Горбатий міст, буд. 9 кв. 74, Тлумач, 40901",+380 33 633-05-69,varfolomii11@example.net
Акименко,Едита,Богданівна,Ж,23.10.1995,Адвокат,село Звенигородка,"набережна Псковський, буд. 485 кв. 0, Надвірна, 83952",709 67 95,amaliiakalchenko@example.org
Рябець,Василина,Богданівна,Ж,11.09.1951,Письменник,селище Авдіївка,"вулиця Садова, буд. 0 кв. 341, Надвірна, 15019",+380 33 239 38 14,ztarasenko@example.com
Єрошенко,Алла,Володимирівна,Ж,12.04.2004,Головний меркшейдер,місто Городище ,"шосе Маршала Малиновського, буд. 685 кв. 7, Рені, 54466",412 86 99,makohonirena@example.com
Микитюк,Трохим,Богданович,Ч,12.02.1983,Музичний редактор,селище Мелітополь,"шосе Кордонна, буд. 235 кв. 46, Сквира, 02761",+380 87 362 35 80,iosypabrahamovskyi@example.net
Усик,Панас,Сергійович,Ч,26.08.1983,Реабілітолог,селище Хирів,"парк Степана Разіна, буд. 16 кв. 51, Армянськ, 89871",+380 63 130-00-36,iustymzabarnyi@example.net
Гунько,Едуард,Дмитрович,Ч,27.04.1999,Журналіст,село Буча,"сквер Онезька, буд. 54 кв. 65, Рені, 83996",+380 76 118 76 80,heorhii50@example.org
Ковпак,Наталія,Михайлівна,Ж,02.07.1955,Інженер,село Генічеськ,"сквер Михайла Божія, буд. 511, Сарни, 81522",050-37-16,amaliiatsarenko@example.com
Байда,Юхим,Олексійович,Ч,30.01.1976,Різноробочий,село Долинська,"провулок Бернардацці, буд. 122, Феодосія, 39913",076 598-64-76,shvaikahryhorii@example.net
Рябченко,Степан,Володимирович,Ч,24.01.1962,Петрограф,селище Соледар,"парк Амурський 1-й, буд. 9, Євпаторія, 06153",048 356-09-02,xzaiets@example.org
Парасюк,Борислав,Петрович,Ч,21.07.1951,Археолог,село Кагарлик,"сквер Богдана Хмельницького, буд. 624, Чернівці, 59718",+380 (77) 827-66-77,fesenkopriska@example.com
Сиротенко,Сергій,Єгорович,Ч,20.07.1989,Парфюмер,село Берислав,"парк Обільний 2-й, буд. 60 кв. 30, Арциз, 23519",+380 68 289 41 43,vermenychliudmyla@example.net
Джус,Емілія,Андріївна,Ж,27.05.1994,Астрофізик,селище Васильків,"набережна Локомотивний 3-й, буд. 4 кв. 6, Сокаль, 52944",511-79-75,rprymachenko@example.com
Рябченко,Альберт,Дмитрович,Ч,24.07.1993,Футболіст,село Березне,"парк Ковиловий, буд. 539, Кам'янець-Подільський, 94566",+380 95 832 73 72,petro79@example.org
Приймак,Тетяна,Андріївна,Ж,06.03.1978,Письменник,селище Горохів,"сквер Штабний, буд. 496, Корсунь-Шевченківський, 36864",049 15 13,lukiankhrystych@example.org
Перебийніс,Симон,Єгорович,Ч,20.09.1984,Перекладач,місто Авдіївка,"площа Усатівська, буд. 6 кв. 60, Покровськ, 89594",041 812 83 86,ykanivets@example.net
Гресь,Ліза,Едуардівна,Ж,09.08.1985,Живописець,місто Валки ,"проспект Моторний 1-й, буд. 6 кв. 66, Бунге , 70852",748-76-45,holoborodkoklyment@example.net
Черінько,Борис,Андрійович,Ч,06.11.1954,Паралегал,село Миколаївка ,"узвіз Олександра Тимошенка, буд. 3, Яготин, 80655",+380 17 851-92-88,korbutartem@example.com
Гупало,Мілена,Сергіївна,Ж,19.05.2005,Програміст,село Білозерське,"шосе 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 89 кв. 7, Шепетівка, 48085",504 38 44,talanomelian@example.org
Вакарчук,Єлисей,Петрович,Ч,08.01.1975,Літературознавець,місто Бердянськ,"узвіз Лесі Українки, буд. 050 кв. 43, Копичинці, 67804",+380 76 752 23 17,mykyta49@example.com
Якимчук,Ірина,Едуардівна,Ж,30.06.1980,Золотар,місто Городище ,"вулиця Нерубайська, буд. 19 кв. 566, Зіньків, 85386",057 615-02-75,danyliuksolomon@example.com
Височан,Тереза,Богданівна,Ж,10.10.1966,Маркетолог,місто Ірміно,"проспект Гаршина, буд. 2, Рахів, 64315",946 92 67,sheremetapriska@example.com
Кащенко,Іван,Володимирович,Ч,15.02.1973,Бізнесмен,село Підгородне,"площа Лінія 42-га, буд. 76, Запоріжжя, 99751",+380 45 347-72-92,hrechanykmarusia@example.net
Семенченко,Юстим,Єгорович,Ч,16.11.1966,Швачка,місто Золоте,"площа Прохоровський, буд. 79 кв. 228, Гребінка, 91897",584 90 20,vadymvasylashko@example.com
Дубенко,Софія,Володимирівна,Ж,30.11.1972,Психолог,хутір Березань ,"вулиця Чорноморка, буд. 04, Заводське, 55366",+380 89 596 71 12,rozaliia48@example.org
Забарний,Симон,Михайлович,Ч,11.06.2004,Гірник,місто Кам'янка-Бузька,"проспект Краснослобідська, буд. 813, Марганець , 09886",+380 22 810-28-31,babarychenkoartem@example.org
Онищенко,Марія,Єгорівна,Ж,15.04.1942,Реставратор,село Часів Яр,"провулок Дальня, буд. 275 кв. 8, Рівне, 16290",934-34-20,dannaderehus@example.com
Фастенко,Гліб,Володимирович,Ч,05.07.1940,Ювелір,село Зіньків,"набережна Бориса Літвака, буд. 10 кв. 35, Бахмут, 57334",+380 46 152-57-50,tovstolisruslan@example.com
Нестайко,Леонтій,Сергійович,Ч,31.08.1939,Журналіст,селище Зугрес,"вулиця Лінія 39-та, буд. 27, Городенка, 18488",001 700-93-03,bohuslavbevz@example.net
Власюк,Наталія,Петрівна,Ж,01.08.1949,Дерун,місто Тернівка ,"парк Олександра Невського 3-й, буд. 4 кв. 97, Жовті Води, 49374",+380 (56) 348-71-89,khaivoronskyi@example.com
Гуцуляк,Аарон,Петрович,Ч,08.01.1986,Кушнір,місто Харків,"вулиця Академіка Воробйова, буд. 5, Болехів, 76899",459-05-14,nazarpiatachenko@example.org
Полтавець,Ірина,Сергіївна,Ж,14.03.1978,Скульптор,хутір Баранівка,"площа Чапаєва, буд. 578, Горлівка, 21324",+380 62 089 89 55,yartemenko@example.com
Щербак,Ростислав,Дмитрович,Ч,19.06.1938,Кіноактор,хутір Бобринець,"сквер Зоопаркова, буд. 59 кв. 14, Добромиль, 55899",067 233-41-15,symon17@example.org
Рябченко,Леон,Дмитрович,Ч,08.10.1990,Фізик,хутір Кривий Ріг,"провулок Дністровська, буд. 89, Стрий, 80537",+380 24 784 58 16,iesypenkodanna@example.org
Абрагамовський,Мирослав,Володимирович,Ч,20.09.1947,Менеджер,село Любомль,"вулиця Мельницька, буд. 22 кв. 3, Батурин, 31058",037 136-16-19,priskaneporozhnii@example.com
Безбородько,Гордій,Олексійович,Ч,12.10.1970,Доцент,хутір Бунге ,"провулок Лізи Чайкіної, буд. 6, Яремче, 52309",+380 97 222-85-81,havrylo83@example.net
Бабʼюк,Панас,Андрійович,Ч,16.09.2006,Юрист,місто Хоростків,"набережна Обривиста, буд. 9 кв. 1, Кам'янець-Подільський, 16021",023 250 94 03,pavlo64@example.org
Охріменко,Єлисей,Едуардович,Ч,01.11.1989,Інженер,село Нікополь,"проспект Вірського, буд. 078, Рудки, 41210",861-30-15,xhuk@example.org
Кабалюк,Борис,Дмитрович,Ч,15.11.1955,Єгер,селище Самбір,"узвіз Лазурний 1-й, буд. 71, Тиврів, 11213",174 29 35,parmen72@example.net
Швачко,Орест,Дмитрович,Ч,04.02.1951,Модель,селище Чортків,"узвіз Вільгельма Габсбурга, буд. 03 кв. 06, Апостолове, 97906",263-99-27,leonid14@example.net
Дергач,Михайлина,Едуардівна,Ж,27.02.2005,Музикознавець,хутір Слов'янськ,"провулок Моторна, буд. 3 кв. 00, Харцизьк, 53346",+380 04 676-77-44,mzatula@example.com
Євдокименко,Тимофій,Володимирович,Ч,10.12.2003,Детектив,селище Первомайський ,"проспект Дачний, буд. 8, Долина , 98073",078 566 30 04,shukhevychstanislav@example.com
Власюк,Данна,Володимирівна,Ж,08.05.1991,Кінолог,хутір Новоазовськ,"площа Монастирський, буд. 464, Новий Буг, 83562",648-33-36,perebyinisolena@example.org
Скирда,Спас,Олексійович,Ч,28.03.1977,Програміст,місто Перевальськ,"площа Проектна 2-га, буд. 5 кв. 2, Радомишль, 50237",992 65 12,bashtanbohdan@example.org
Воблий,Альбіна,Едуардівна,Ж,10.09.1997,Піаніст,селище Алмазна,"узвіз Калнишевського Петра, буд. 8 кв. 22, Київ, 55348",027 639 09 31,iaroslavkyrylenko@example.net
Саченко,Данило,Михайлович,Ч,04.10.1971,Бібліотекар,хутір Южноукраїнськ,"сквер Юхима Фесенка, буд. 878 кв. 98, Буськ, 82952",+380 65 116 08 64,viktor94@example.org
Парасюк,Ігор,Михайлович,Ч,02.02.1987,Архітектор,селище Умань,"узвіз Суднобудівна, буд. 6 кв. 487, Чуднів, 21704",+380 81 650-76-97,vasyl09@example.net
Бевзенко,Ганна,Олексіївна,Ж,12.04.1963,Антрополог,хутір Бердичів,"проспект Житомирська, буд. 295 кв. 218, Глобине, 67100",+380 32 497 34 59,kyrylohutsuliak@example.com
Шиян,Микита,Олексійович,Ч,28.07.1945,Менеджер,село Ківерці,"парк 13-та Суворовська, буд. 3 кв. 263, Сніжне, 79678",900-52-87,zgerus@example.net
Арсенич,Азар,Олексійович,Ч,04.03.1962,Піаніст,село Моспине,"вулиця Шептицікого, буд. 2, Первомайський , 26230",092 219-64-41,solomonkorsun@example.org
Хомик,Соломія,Андріївна,Ж,07.09.2006,Кінолог,місто Миколаїв,"сквер Юрженка Олександра, буд. 67 кв. 2, Судак , 28429",911-72-09,sartym@example.com
Тригуб,Теодор,Сергійович,Ч,09.02.1939,Живописець,місто Харків,"провулок Вапняна, буд. 52 кв. 872, Сновськ, 32649",070 765-00-61,liliia16@example.org
Гречаник,Ярина,Володимирівна,Ж,14.01.1969,Флорист,селище Тернопіль,"парк Бахчева, буд. 361, Лохвиця, 58795",+380 (04) 171-12-49,prymachenkonataliia@example.com
Калениченко,Соломія,Дмитрівна,Ж,28.03.1997,Реабілітолог,селище Путивль,"узвіз Аеропортівський 5-й, буд. 5, Хмельницький, 52200",+380 65 401-63-41,shyloazar@example.net
Ґереґа,Трохим,Володимирович,Ч,06.12.1943,Музикознавець,село Федорівка,"узвіз Парашутний, буд. 461 кв. 9, Судак , 64620",053 121-93-51,cbazylevskyi@example.net
Тичина,Ярина,Олексіївна,Ж,21.08.1941,Прокурор,село Самбір,"вулиця Сміливий, буд. 24 кв. 5, Мукачево, 14471",795-32-85,babiukavrelii@example.com
Височан,Олена,Дмитрівна,Ж,12.05.1970,Золотар,місто Шпола,"вулиця Селищний, буд. 5 кв. 30, Новомиргород, 90649",+380 68 618 41 95,iaryna60@example.org
Шеремет,Руслан,Сергійович,Ч,20.11.1999,Провізор,селище Іршава,"сквер Лінія 53-тя, буд. 74 кв. 351, Костопіль, 26109",051 734-69-04,babiihavrylo@example.com
Вакарчук,Зиновій,Олексійович,Ч,08.03.1960,Модель,місто Дубляни,"набережна Дальня, буд. 2, Дніпрорудне, 41980",732-21-98,varvara01@example.org
Короленко,Святослава,Михайлівна,Ж,16.06.1959,Ботанік,село Вільногірськ,"провулок Івахненка Петра, буд. 07 кв. 027, Борзна, 30927",501-86-21,albina47@example.com
Ващенко-Захарченко,Михайлина,Петрівна,Ж,12.02.2007,Музикознавець,хутір Старий Самбір,"парк Перша, буд. 626, Білицьке, 06462",428 80 81,panteleimon61@example.net
Козак,Вʼячеслав,Єгорович,Ч,26.08.1961,Медик,місто Генічеськ,"сквер Локомотивний 3-й, буд. 757, Тиврів, 43829",054 120 54 27,bakumenkoparmen@example.com
Токар,Василина,Едуардівна,Ж,28.08.1998,Паралегал,місто Іловайськ,"площа Горіхова, буд. 911 кв. 8, Нововолинськ, 52900",+380 49 791 36 99,marusia45@example.net
Скоробогатько,Леон,Володимирович,Ч,28.05.1998,Провізор,хутір Родинське,"сквер Горіхова, буд. 14, Тячів, 04402",+380 81 906-05-74,nazar79@example.net
Романчук,Ігнат,Петрович,Ч,08.10.1954,Модель,місто Почаїв,"вулиця Герцена, буд. 136, Кам'янець-Подільський, 22040",831-19-87,somkovalerii@example.net
Адамчук,Федір,Сергійович,Ч,08.05.1954,Археолог,місто Олешки,"проспект Скворцова, буд. 6, Вашківці, 07692",805-58-57,tsarenkonataliia@example.org
Данилюк,Любов,Єгорівна,Ж,06.12.1973,Фермер,місто Кременець,"сквер Ювілейний 1-й, буд. 12 кв. 5, Харків, 92911",+380 69 098-34-66,iefremchumak@example.net
Тесля,Амвросій,Єгорович,Ч,31.05.1982,Біолог,хутір Вовчанськ,"шосе 15-та Суворовська, буд. 57 кв. 4, Чистякове, 33520",+380 19 859-01-77,boleslav88@example.com
Єрмоленко,Юхим,Едуардович,Ч,04.09.1951,Будник,місто Тисмениця,"проспект Гагарінське плато, буд. 192, Нова Одеса, 12269",031 965-46-11,milena38@example.com
Носенко,Марко,Олексійович,Ч,31.05.1978,Геолог,селище Городенка,"набережна Флотська, буд. 76 кв. 713, Лебедин, 38750",+380 (72) 879-79-51,oleksandrverkhovynets@example.com
Дейнеко,Станіслав,Петрович,Ч,17.06.1948,Музикознавець,хутір Світлодарськ,"проспект Михайлівська, буд. 6 кв. 171, Дергачі, 36757",994 25 83,okhrim83@example.com
Гайдабура,Демʼян,Едуардович,Ч,25.09.1949,Локсмайстер,місто П'ятихатки,"площа Стражеска Миколи, буд. 172, Українськ, 32836",+380 27 942-60-76,erika07@example.net
Ґалаґан,Арсен,Сергійович,Ч,05.03.1991,Бухгалтер,селище Алупка,"узвіз Чернишевського, буд. 90 кв. 1, Красноград, 41783",245-85-55,oleksandrkozachenko@example.org
Титаренко,Прохір,Едуардович,Ч,04.09.1964,Ґрунтознавець,хутір Угнів,"проспект Амбулаторний 2-й, буд. 7, Малин, 59468",+380 55 351 48 71,mariana91@example.com
Христенко,Омелян,Володимирович,Ч,10.05.1945,Епідеміолог,місто Токмак,"парк Псковський, буд. 902 кв. 901, Бучач, 31315",+380 51 466 48 21,daryna36@example.org
Кальченко,Богодар,Володимирович,Ч,19.09.1942,Електромонтер,село Хотин,"вулиця Сергія Уточкіна, буд. 867 кв. 79, Переяслав, 80614",081 229-94-34,jhavrylets@example.net
Забіла,Надія,Богданівна,Ж,15.12.1937,Кур'єр,місто Нова Одеса,"сквер Кордонний, буд. 7 кв. 3, Рава-Руська, 51578",+380 95 093-29-05,zkabanenko@example.org
Худобʼяк,Левко,Єгорович,Ч,28.04.1979,Слідчий,місто Ровеньки,"шосе Новощіпний ряд, буд. 6, Сміла, 02003",040 918-51-28,alevtyn53@example.org
Чубай,Олесь,Дмитрович,Ч,18.01.1944,Економіст,хутір Кропивницький,"узвіз Спортивний, буд. 5, Теребовля, 47766",+380 38 468 21 08,mdrobakha@example.net
Рудько,Марина,Петрівна,Ж,10.01.1952,Реабілітолог,місто Острог,"шосе Шефська, буд. 86, Красноперекопськ, 44325",+380 70 528-74-43,durdynetsleopold@example.org
Данильчук,Василина,Едуардівна,Ж,11.11.1980,Програміст,село Нікополь,"набережна Аеропортівський 2-й, буд. 947 кв. 6, Буськ, 45300",+380 (71) 325-09-27,omelianperebyinis@example.org
Радченко,Віолетта,Єгорівна,Ж,05.08.1964,Клоун,селище Олександрія,"узвіз 15-та ст. Великого Фонтану пляж, буд. 20, Косів, 21258",+380 (10) 157-93-54,drozdenkobohodar@example.org
Рябченко,Данило,Петрович,Ч,26.11.1942,Акушер,селище Кадіївка,"проспект Довга, буд. 165 кв. 769, Підгородне, 13602",024 246 44 87,ovsiienkookseniia@example.org
Рубан,Марта,Богданівна,Ж,19.06.1960,Соціолог,селище Тернівка ,"парк Польовий 1-й, буд. 5 кв. 88, Буринь, 57349",024 063-71-79,viacheslav02@example.com
Семенченко,Панас,Михайлович,Ч,17.08.1969,Гінеколог,хутір Боярка,"узвіз Офіцерський 2-й, буд. 06 кв. 56, Золотоноша, 39146",413 50 51,ivyshyvanyi@example.net
Дашкевич,Єлисавета,Богданівна,Ж,06.06.1985,Астронавт,хутір Хрустальний,"проспект Керченська, буд. 7, Яремче, 78653",041 487-09-96,khudiakbohuslav@example.com
Яценюк,Богданна,Петрівна,Ж,07.06.1977,Гицель,селище Синельникове,"площа Лиманна, буд. 93, Новий Розділ, 56753",087 779 79 07,edrozdenko@example.org
Тихий,Ганна,Володимирівна,Ж,10.12.1959,Конструктор,місто Докучаєвськ,"набережна Самодіяльна, буд. 8 кв. 39, Дубляни, 81906",+380 (93) 874-18-95,olena04@example.net
Гайдай,Ростислав,Дмитрович,Ч,30.11.1966,Паблік рилейшнз,місто Стрий,"провулок Академіка Заболотного, буд. 625, Каховка, 32956",080 708-85-51,nfareniuk@example.net
Литвин,Пилип,Едуардович,Ч,13.07.1979,Режисер,хутір Прип'ять ,"парк Олександра Невського 3-й, буд. 02, Благовіщенське, 22570",+380 17 381-96-98,volodymyravatamaniuk@example.com
Скоробогатько,Володимира,Олексіївна,Ж,30.05.2004,Машиніст,село Борислав,"шосе Садова 1-ша, буд. 670 кв. 357, Першотравенськ, 23497",+380 95 169-84-89,itymchuk@example.org
Шовкопляс,Гліб,Володимирович,Ч,17.09.1993,Ріелтор,село Сокаль,"сквер Чорноморського козацтва, буд. 3, Кипуче, 94262",002 785-86-90,havriushenkoivan@example.net
Вакарчук,Данило,Єгорович,Ч,04.05.1988,Слідчий,місто Чугуїв,"вулиця Джутовий, буд. 33, Гуляйполе, 03647",+380 48 173-62-11,antonkorpaniuk@example.com
Чумак,Наталія,Петрівна,Ж,06.04.1965,Акушер,хутір Великі Мости,"набережна Флотський 2-й, буд. 3, Сновськ, 81528",+380 59 921 82 05,orkhypiurchenko@example.net
Худяк,Роман,Володимирович,Ч,03.02.1993,Футболіст,село Джанкой,"узвіз Зелена гірка, буд. 81, Житомир, 56541",+380 94 686-03-15,umanetssviatoslav@example.org
Радченко,Олег,Андрійович,Ч,02.10.1990,Соціолог,селище Синельникове,"провулок Горбиста, буд. 2 кв. 94, Жидачів, 32061",+380 25 938-58-73,nkhomenko@example.org
Швачко,Богуслав,Андрійович,Ч,18.02.1978,Ботанік,місто Нікополь,"провулок Будівельна, буд. 1 кв. 15, Почаїв, 62332",+380 92 356-65-61,arsen03@example.org
Щириця,Микита,Богданович,Ч,26.09.1952,Шериф,хутір Дергачі,"проспект Маловського, буд. 778, Соледар, 93495",579 53 87,nadiia53@example.com
Чміль,Дарина,Олексіївна,Ж,02.10.2000,Дерун,селище Дніпрорудне,"проспект Житомирська, буд. 202, Васильків, 08753",001 401-38-61,markofartushniak@example.com
Товстоліс,Алла,Едуардівна,Ж,03.02.1984,Дизайнер,селище Бунге ,"проспект Володимира Хавкіна, буд. 310, Харцизьк, 41575",+380 26 173 20 42,viacheslav36@example.org
Сомко,Станіслав,Єгорович,Ч,04.09.1959,Професор,село Городенка,"набережна Академічний, буд. 50, Джанкой, 78066",118-02-42,niakymchuk@example.com
Безбородько,Орест,Єгорович,Ч,11.07.1968,Фрілансер,селище Новоселиця,"парк Волоколамська, буд. 55, Подільськ, 61190",+380 77 472 21 14,vitaliizatula@example.net
Панчук,Олександр,Андрійович,Ч,28.05.1985,Детектив,місто Володимир-Волинський,"вулиця Академіка Глушка, буд. 06, Жданівка, 36287",092 587 80 30,jbashtan@example.net
Чумаченко,Микита,Єгорович,Ч,21.12.1962,Мікробіолог,село Стебник,"вулиця Макова, буд. 9 кв. 5, Винники, 47436",353 26 51,tirvanets@example.org
Штокало,Володимира,Єгорівна,Ж,29.08.1982,Нотаріус,хутір Світлодарськ,"сквер Вітчизняна, буд. 5, Заводське, 72839",+380 (06) 448-16-14,markomakarenko@example.com
Щербань,Любов,Сергіївна,Ж,22.04.1973,Візажист,село Маріуполь,"вулиця Калинова, буд. 1, Кодима, 69943",+380 10 329-90-20,panassheremet@example.net
Андрійчук,Златослава,Михайлівна,Ж,11.12.1984,Модель,місто Дубровиця,"вулиця Катерининська, буд. 154, Хуст, 02579",736 25 90,tereza03@example.org
Павлик,Богуслава,Богданівна,Ж,27.01.1940,Випробувач,місто Тернівка ,"сквер Василя Кандинського 1-й, буд. 3, Соснівка , 14627",+380 92 275-92-34,jruban@example.net
Затула,Тереза,Михайлівна,Ж,14.01.1951,Філолог,хутір Апостолове,"набережна Елеваторна, буд. 4, Очаків, 44908",988 20 03,shutkoartem@example.com
Бакуменко,Борис,Андрійович,Ч,30.04.1957,Кінолог,село Кілія,"узвіз Скворцова, буд. 861, Кам'янець-Подільський, 63728",+380 (50) 741-28-25,prokhir84@example.net
Петренко,Ольга,Дмитрівна,Ж,06.06.1950,Каскадер,селище Жданівка,"шосе Віцеадмірала Азарова, буд. 18, Немирів, 69973",810-51-37,opanasaronets@example.net
Бабійчук,Франц,Андрійович,Ч,20.07.1961,Няня,хутір Синельникове,"шосе Нафтовиків, буд. 7, Іловайськ, 78396",740 14 49,irena66@example.com
Іваничук,Єлисавета,Едуардівна,Ж,01.09.2005,Краєзнавець,селище Федорівка,"сквер Виставочна, буд. 3 кв. 6, Первомайськ, 59609",971-26-83,bohuslav24@example.net
Прокопович,Лілія,Єгорівна,Ж,13.12.2004,Дантист,місто Шумськ,"парк Станційна 2-га, буд. 871, Мала Виска, 50044",+380 (51) 389-00-53,volodymyrshchors@example.com
Козаченко,Тетяна,Сергіївна,Ж,27.09.1971,Пілот,хутір Дергачі,"вулиця Хвойний, буд. 86 кв. 1, Вільнянськ, 12236",+380 (65) 683-66-26,zlesyk@example.net
Артим,Мартин,Володимирович,Ч,16.01.1982,Програміст,місто Южноукраїнськ,"узвіз Магістральна, буд. 7 кв. 0, Бучач, 03397",+380 59 932-21-13,tymofii95@example.com
Затула,Орися,Богданівна,Ж,09.06.1982,Фрілансер,селище Хрестівка,"парк Солонцюватий, буд. 08 кв. 193, Деражня, 56140",+380 87 019 18 24,oksanausyk@example.net
Усик,Альберт,Єгорович,Ч,13.05.1947,Сценарист,місто Дубно,"провулок Український 2-й, буд. 6 кв. 867, Сарни, 77097",554 27 83,bazavluchenkovalerii@example.com
Ґереґа,Макар,Михайлович,Ч,03.09.1982,Футболіст,село Первомайський ,"сквер 14-та ст. Великого Фонтану пляж, буд. 58 кв. 322, Почаїв, 19848",+380 35 881-42-74,herman34@example.org
Їжак,Еріка,Єгорівна,Ж,25.03.1952,Сценарист,місто Соснівка ,"провулок 6-та Суворовська, буд. 746, Ланівці, 01039",248-27-57,tiurchuk@example.net
Ільєнко,Аліна,Олексіївна,Ж,06.09.1980,Правник,село Славутич,"проспект Олександра Невського 5-й, буд. 69 кв. 3, Пологи , 06559",+380 86 011-49-29,terezaivanenko@example.com
Цимбал,Зиновій,Едуардович,Ч,03.04.1973,Кур'єр,селище Монастириська,"вулиця Рівності 2-й, буд. 416, Монастирище, 16836",+380 85 617-32-43,iushchenkodavyd@example.net
Бандура,Віктор,Володимирович,Ч,01.07.1962,Адвокат,село Подільськ,"шосе Улітіна, буд. 04 кв. 2, Голубівка, 32020",020 715 68 45,olenavasylechko@example.com
Масляк,Віолетта,Єгорівна,Ж,15.01.1978,Електротехнік,село Немирів,"проспект Чорноморський 1-й, буд. 3, Калинівка , 24728",143-53-48,vovkieva@example.org
Свириденко,Данило,Дмитрович,Ч,04.03.1950,Журналіст,селище Ялта,"сквер Басейний 1-й, буд. 47, Новий Калинів, 32952",+380 (29) 042-99-47,mariana76@example.org
Ейбоженко,Прохір,Богданович,Ч,25.01.1994,Продюсер,місто Дубровиця,"сквер Восьмого березня узвіз, буд. 44 кв. 825, Щастя , 75891",+380 45 626-82-51,khoma78@example.org
Юхименко,Сергій,Єгорович,Ч,07.09.1950,Геофізик,село Маріуполь,"площа Черняховського, буд. 33 кв. 83, Дунаївці, 37038",+380 (27) 786-08-91,mishchak@example.com
